epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,164.188,0.62301,0.63487,1.03049,0.89246,0.95034,0.97833,0.87176,0.57884,0.44608,0.99278,0.005842,0.005842,0.005842
44,168.023,0.57231,0.54791,0.98897,0.79942,0.95066,0.95193,0.82533,0.59503,0.49986,1.02519,0.005743,0.005743,0.005743
45,171.824,0.5824,0.56044,0.98902,0.86334,0.89737,0.92623,0.80104,0.62171,0.4764,1.0788,0.005644,0.005644,0.005644
46,175.627,0.59378,0.57863,0.99203,0.89946,0.8875,0.94671,0.83622,0.59808,0.49405,1.03972,0.005545,0.005545,0.005545
47,179.423,0.57051,0.59256,1.00319,0.87246,0.81861,0.88194,0.67115,0.97653,1.00174,1.23234,0.005446,0.005446,0.005446
48,183.217,0.55214,0.5297,0.98032,0.90739,0.93729,0.96809,0.81771,0.6373,0.53257,1.04131,0.005347,0.005347,0.005347
49,187.015,0.56966,0.5103,0.98593,0.95557,0.93794,0.98155,0.85357,0.56143,0.44684,1.01043,0.005248,0.005248,0.005248
50,190.806,0.53843,0.50938,0.98403,0.9491,0.89258,0.97833,0.80691,0.66519,0.45184,1.04633,0.005149,0.005149,0.005149
51,194.604,0.57878,0.53255,1.01202,0.79921,0.97295,0.9353,0.76698,0.70238,0.51722,1.1087,0.00505,0.00505,0.00505
52,198.403,0.55056,0.49681,0.97084,0.94092,0.93457,0.995,0.84056,0.63601,0.43376,1.03085,0.004951,0.004951,0.004951
53,202.2,0.54654,0.48915,0.97348,0.95478,0.89487,0.97833,0.86686,0.55887,0.36533,0.95372,0.004852,0.004852,0.004852
54,206.002,0.51102,0.50171,0.97865,0.94737,0.97272,0.995,0.86231,0.57988,0.40523,0.98047,0.004753,0.004753,0.004753
55,209.816,0.54577,0.50663,0.98158,0.92156,0.95844,0.995,0.80448,0.69084,0.43796,1.0521,0.004654,0.004654,0.004654
