epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,246.253,0.54135,0.53299,0.97062,0.74451,0.42754,0.53123,0.339,1.57854,2.59756,1.73226,0.005743,0.005743,0.005743
45,252.195,0.56468,0.56188,0.98187,0.82576,0.93682,0.97,0.82533,0.60005,0.5032,0.81209,0.005644,0.005644,0.005644
46,257.962,0.56374,0.57078,0.98188,0.82234,0.95,0.92845,0.78565,0.49955,0.52616,0.82708,0.005545,0.005545,0.005545
47,263.9,0.568,0.54315,0.9681,0.8347,0.89245,0.93455,0.82604,0.4436,0.48989,0.79802,0.005446,0.005446,0.005446
48,269.354,0.55844,0.54974,0.98125,0.77998,0.77566,0.8397,0.72882,0.57043,0.68177,0.81963,0.005347,0.005347,0.005347
49,274.745,0.5154,0.52333,0.94705,0.89219,0.90245,0.93203,0.82604,0.458,0.39838,0.76592,0.005248,0.005248,0.005248
50,280.128,0.55034,0.53333,0.97902,0.86378,0.91267,0.93392,0.82709,0.45779,0.38699,0.7837,0.005149,0.005149,0.005149
51,285.599,0.54621,0.51336,0.96292,0.89498,0.90626,0.93727,0.86356,0.38735,0.34283,0.74142,0.00505,0.00505,0.00505
52,291.246,0.53833,0.52442,0.96951,0.9297,0.84756,0.89299,0.814,0.36331,0.36108,0.74762,0.004951,0.004951,0.004951
53,296.76,0.5209,0.53446,0.95776,0.87823,0.91151,0.9127,0.8054,0.42491,0.37054,0.80828,0.004852,0.004852,0.004852
54,302.314,0.56257,0.52606,0.98286,0.90184,0.93838,0.94429,0.80729,0.49048,0.37304,0.84604,0.004753,0.004753,0.004753
55,307.941,0.54531,0.48784,0.9767,0.89597,0.88158,0.93821,0.83219,0.4277,0.37283,0.82334,0.004654,0.004654,0.004654
56,313.746,0.5069,0.46973,0.9451,0.92447,0.90546,0.96183,0.87318,0.40107,0.30837,0.76129,0.004555,0.004555,0.004555
57,319.416,0.53506,0.49493,0.96546,0.92242,0.93378,0.96368,0.83709,0.69031,0.39578,0.91764,0.004456,0.004456,0.004456
58,324.959,0.49683,0.50107,0.96084,0.88211,0.88579,0.9565,0.78856,0.71432,0.46873,0.91772,0.004357,0.004357,0.004357
59,330.45,0.49385,0.47298,0.94831,0.90944,0.85749,0.90308,0.80791,0.64777,0.4727,0.89355,0.004258,0.004258,0.004258
60,336.229,0.49235,0.46195,0.95864,0.90886,0.94395,0.94758,0.83064,0.60705,0.4643,0.82271,0.004159,0.004159,0.004159
61,342.012,0.50857,0.48421,0.94619,0.94131,0.88135,0.96796,0.84739,0.39606,0.35128,0.78001,0.00406,0.00406,0.00406
62,347.473,0.5047,0.49061,0.95848,0.93822,0.91861,0.9785,0.8682,0.36968,0.30036,0.73965,0.003961,0.003961,0.003961
63,352.912,0.47497,0.45522,0.95384,0.90837,0.92703,0.97008,0.87131,0.3578,0.31731,0.74267,0.003862,0.003862,0.003862
64,358.468,0.47099,0.42449,0.93893,0.91341,0.89794,0.97008,0.85079,0.40692,0.32923,0.81012,0.003763,0.003763,0.003763
65,364.199,0.45882,0.42606,0.92319,0.90662,0.93528,0.97008,0.86267,0.36199,0.35826,0.75154,0.003664,0.003664,0.003664
66,369.642,0.48747,0.4379,0.95265,0.91545,0.88369,0.97605,0.80961,0.47009,0.45584,0.82859,0.003565,0.003565,0.003565
67,375.269,0.51105,0.46845,0.96498,0.89345,0.94048,0.96183,0.85915,0.36248,0.28836,0.7365,0.003466,0.003466,0.003466
68,380.96,0.45609,0.44507,0.92758,0.86485,0.95722,0.94525,0.83113,0.41487,0.29107,0.74198,0.003367,0.003367,0.003367
69,386.421,0.45578,0.42923,0.93348,0.85861,0.95477,0.94525,0.84568,0.40795,0.27279,0.74442,0.003268,0.003268,0.003268
70,391.903,0.47587,0.45827,0.94426,0.91443,0.88891,0.97,0.86678,0.38139,0.26131,0.75264,0.003169,0.003169,0.003169
71,397.521,0.47788,0.43779,0.93733,0.88282,0.93334,0.97,0.86656,0.44287,0.28313,0.75351,0.00307,0.00307,0.00307
72,403.377,0.43681,0.41395,0.92996,0.84279,0.86488,0.89024,0.76602,0.65426,0.57952,0.88379,0.002971,0.002971,0.002971
73,409.056,0.44488,0.42534,0.92396,0.88323,0.99132,0.96183,0.83906,0.61294,0.38158,0.83277,0.002872,0.002872,0.002872
74,414.626,0.4498,0.44435,0.93504,0.91903,0.95212,0.96183,0.85792,0.34884,0.25696,0.73834,0.002773,0.002773,0.002773
75,420.326,0.42278,0.39708,0.90603,0.91651,0.95085,0.96183,0.83588,0.37857,0.28282,0.75141,0.002674,0.002674,0.002674
76,425.976,0.4377,0.41297,0.92705,0.90962,0.91903,0.92119,0.79423,0.50214,0.38969,0.78631,0.002575,0.002575,0.002575
